Timestamp,Filename,Accuracy %,Status
2025-05-26 23:09:43,2_Forever 21 Credit Notification.json,96.3,Has Differences
2025-05-26 23:09:43,3_DHL eCommerce Tracking Status Update.json,88.9,Has Differences
2025-05-26 23:09:43,4_DHL eCommerce Tracking Status Update (1).json,96.3,Has Differences
2025-05-26 23:10:32,1_Your Forever 21 Order #8138161489.json,77.8,Has Differences
2025-05-26 23:10:32,2_Forever 21 Credit Notification.json,100.0,Exact Match
2025-05-26 23:10:32,3_DHL eCommerce Tracking Status Update.json,88.9,Has Differences
2025-05-26 23:10:32,4_DHL eCommerce Tracking Status Update (1).json,96.3,Has Differences
2025-05-26 23:15:46,1_Your Forever 21 Order #8138161489.json,77.8,Has Differences
2025-05-26 23:15:46,2_Forever 21 Credit Notification.json,100.0,Exact Match
2025-05-26 23:15:46,3_DHL eCommerce Tracking Status Update.json,88.9,Has Differences
2025-05-26 23:15:46,4_DHL eCommerce Tracking Status Update (1).json,96.3,Has Differences
2025-05-27 20:47:58,1_Your Forever 21 Order #8138161489.json,74.1,Has Differences
2025-05-27 20:47:58,2_Forever 21 Credit Notification.json,100.0,Exact Match
2025-05-27 20:47:58,3_DHL eCommerce Tracking Status Update.json,88.9,Has Differences
2025-05-27 20:47:58,4_DHL eCommerce Tracking Status Update (1).json,96.3,Has Differences
2025-05-27 20:48:56,1_Your Forever 21 Order #8138161489.json,70.4,Has Differences
2025-05-27 20:48:56,2_Forever 21 Credit Notification.json,100.0,Exact Match
2025-05-27 20:48:56,3_DHL eCommerce Tracking Status Update.json,88.9,Has Differences
2025-05-27 20:48:56,4_DHL eCommerce Tracking Status Update (1).json,96.3,Has Differences
2025-05-27 20:50:20,1_Your Forever 21 Order #8138161489.json,77.8,Has Differences
2025-05-27 20:50:20,2_Forever 21 Credit Notification.json,100.0,Exact Match
2025-05-27 20:50:20,3_DHL eCommerce Tracking Status Update.json,88.9,Has Differences
2025-05-27 20:50:20,4_DHL eCommerce Tracking Status Update (1).json,96.3,Has Differences
2025-05-27 20:51:01,1_Your Forever 21 Order #8138161489.json,77.8,Has Differences
2025-05-27 20:51:01,2_Forever 21 Credit Notification.json,100.0,Exact Match
2025-05-27 20:51:01,3_DHL eCommerce Tracking Status Update.json,88.9,Has Differences
2025-05-27 20:51:01,4_DHL eCommerce Tracking Status Update (1).json,96.3,Has Differences
2025-05-27 20:51:39,1_Your Forever 21 Order #8138161489.json,81.5,Has Differences
2025-05-27 20:51:39,2_Forever 21 Credit Notification.json,96.3,Has Differences
2025-05-27 20:51:39,3_DHL eCommerce Tracking Status Update.json,88.9,Has Differences
2025-05-27 20:51:39,4_DHL eCommerce Tracking Status Update (1).json,96.3,Has Differences
2025-05-27 20:53:27,1_Your Forever 21 Order #8138161489.json,85.2,Has Differences
2025-05-27 20:53:27,2_Forever 21 Credit Notification.json,100.0,Exact Match
2025-05-27 20:53:27,3_DHL eCommerce Tracking Status Update.json,88.9,Has Differences
2025-05-27 20:53:27,4_DHL eCommerce Tracking Status Update (1).json,96.3,Has Differences
2025-05-27 20:55:20,1_Your Forever 21 Order #8138161489.json,81.5,Has Differences
2025-05-27 20:55:20,2_Forever 21 Credit Notification.json,100.0,Exact Match
2025-05-27 20:55:20,3_DHL eCommerce Tracking Status Update.json,88.9,Has Differences
2025-05-27 20:55:20,4_DHL eCommerce Tracking Status Update (1).json,96.3,Has Differences
2025-05-27 20:57:41,1_Your Forever 21 Order #8138161489.json,70.4,Has Differences
2025-05-27 20:57:41,2_Forever 21 Credit Notification.json,100.0,Exact Match
2025-05-27 20:57:41,3_DHL eCommerce Tracking Status Update.json,88.9,Has Differences
2025-05-27 20:57:41,4_DHL eCommerce Tracking Status Update (1).json,96.3,Has Differences
2025-05-27 21:00:43,1_Your Forever 21 Order #8138161489.json,81.5,Has Differences
2025-05-27 21:00:43,2_Forever 21 Credit Notification.json,100.0,Exact Match
2025-05-27 21:00:43,3_DHL eCommerce Tracking Status Update.json,88.9,Has Differences
2025-05-27 21:00:43,4_DHL eCommerce Tracking Status Update (1).json,96.3,Has Differences
2025-05-27 21:01:46,1_Your Forever 21 Order #8138161489.json,85.2,Has Differences
2025-05-27 21:01:46,2_Forever 21 Credit Notification.json,100.0,Exact Match
2025-05-27 21:01:46,3_DHL eCommerce Tracking Status Update.json,88.9,Has Differences
2025-05-27 21:01:46,4_DHL eCommerce Tracking Status Update (1).json,96.3,Has Differences
2025-05-27 21:04:10,1_Your Forever 21 Order #8138161489.json,81.5,Has Differences
2025-05-27 21:04:10,2_Forever 21 Credit Notification.json,100.0,Exact Match
2025-05-27 21:04:10,3_DHL eCommerce Tracking Status Update.json,88.9,Has Differences
2025-05-27 21:04:10,4_DHL eCommerce Tracking Status Update (1).json,96.3,Has Differences
2025-05-27 21:05:45,1_Your Forever 21 Order #8138161489.json,77.8,Has Differences
2025-05-27 21:05:45,2_Forever 21 Credit Notification.json,100.0,Exact Match
2025-05-27 21:05:45,3_DHL eCommerce Tracking Status Update.json,88.9,Has Differences
2025-05-27 21:05:45,4_DHL eCommerce Tracking Status Update (1).json,96.3,Has Differences
2025-05-27 21:14:13,1_Your Forever 21 Order #8138161489.json,85.2,Has Differences
2025-05-27 21:14:13,2_Forever 21 Credit Notification.json,96.3,Has Differences
2025-05-27 21:14:13,3_DHL eCommerce Tracking Status Update.json,88.9,Has Differences
2025-05-27 21:14:13,4_DHL eCommerce Tracking Status Update (1).json,96.3,Has Differences
2025-05-27 21:15:54,1_Your Forever 21 Order #8138161489.json,85.2,Has Differences
2025-05-27 21:15:54,2_Forever 21 Credit Notification.json,100.0,Exact Match
2025-05-27 21:15:54,3_DHL eCommerce Tracking Status Update.json,88.9,Has Differences
2025-05-27 21:15:54,4_DHL eCommerce Tracking Status Update (1).json,96.3,Has Differences
2025-05-27 21:17:22,1_Your Forever 21 Order #8138161489.json,85.2,Has Differences
2025-05-27 21:17:22,2_Forever 21 Credit Notification.json,100.0,Exact Match
2025-05-27 21:17:22,3_DHL eCommerce Tracking Status Update.json,96.3,Has Differences
2025-05-27 21:17:22,4_DHL eCommerce Tracking Status Update (1).json,96.3,Has Differences
2025-05-27 21:22:36,1_Your Forever 21 Order #8138161489.json,74.1,Has Differences
2025-05-27 21:22:36,2_Forever 21 Credit Notification.json,100.0,Exact Match
2025-05-27 21:22:36,3_DHL eCommerce Tracking Status Update.json,60.0,Has Differences
2025-05-27 21:22:36,4_DHL eCommerce Tracking Status Update (1).json,96.3,Has Differences
2025-05-27 21:36:10,1_Your Forever 21 Order #8138161489.json,74.1,Has Differences
2025-05-27 21:36:10,2_Forever 21 Credit Notification.json,100.0,Exact Match
2025-05-27 21:36:10,3_DHL eCommerce Tracking Status Update.json,85.2,Has Differences
2025-05-27 21:36:10,4_DHL eCommerce Tracking Status Update (1).json,96.3,Has Differences
2025-05-27 21:36:35,1_Your Forever 21 Order #8138161489.json,70.4,Has Differences
2025-05-27 21:36:35,2_Forever 21 Credit Notification.json,100.0,Exact Match
2025-05-27 21:36:35,3_DHL eCommerce Tracking Status Update.json,77.8,Has Differences
2025-05-27 21:36:35,4_DHL eCommerce Tracking Status Update (1).json,100.0,Exact Match
2025-05-27 21:37:07,1_Your Forever 21 Order #8138161489.json,74.1,Has Differences
2025-05-27 21:37:07,2_Forever 21 Credit Notification.json,100.0,Exact Match
2025-05-27 21:37:07,3_DHL eCommerce Tracking Status Update.json,66.7,Has Differences
2025-05-27 21:37:07,4_DHL eCommerce Tracking Status Update (1).json,96.3,Has Differences
2025-05-27 21:54:01,1_Your Forever 21 Order #8138161489.json,81.5,Has Differences
2025-05-27 21:54:01,2_Forever 21 Credit Notification.json,100.0,Exact Match
2025-05-27 21:54:01,3_DHL eCommerce Tracking Status Update.json,85.2,Has Differences
2025-05-27 21:54:01,4_DHL eCommerce Tracking Status Update (1).json,96.3,Has Differences
2025-05-27 21:56:06,1_Your Forever 21 Order #8138161489.json,74.1,Has Differences
2025-05-27 21:56:06,2_Forever 21 Credit Notification.json,96.3,Has Differences
2025-05-27 21:56:06,3_DHL eCommerce Tracking Status Update.json,53.3,Has Differences
2025-05-27 21:56:06,4_DHL eCommerce Tracking Status Update (1).json,96.3,Has Differences
